Country Name,Country Code,Series Name,Series Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Afghanistan,AFG,Commencement of proceedings index (0-3),IC.ISV.COP,..,..,..,..,..,..,..,..,2,2,2
Afghanistan,AFG,Cost to build a warehouse (% of income per capita),IC.DCP.COST,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Cost to enforce a contract (% of claim),IC.EC.COST,25,25,25,25,25,25,25,25,25,25,25
Afghanistan,AFG,Cost to export (deflated US$ per container),IC.EXP.COST.EXP.DEF,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Cost to get electricity (% of income per capita),IC.GE.COST,..,..,..,..,618.2,6179.7,6277.9,5545.6,3778.1,3373.9,3469.7
Afghanistan,AFG,Cost to import (deflated US$ per container),IC.EXP.COST.IMP.DEF,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Cost to register property (% of property value),IC.RP.COST,7,7,7,7,4,5,5,5,5,5,5
Afghanistan,AFG,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,75.2,67.4,84.6,59.5,30.2,26.7,25.8,22.5,14.4,15.1,19
Afghanistan,AFG,Credit: Strength of legal rights index (0=weak to 10=strong),IC.LGL.CRED.XQ,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Creditor participation index (0-4),IC.ISV.CPI,..,..,..,..,..,..,..,..,1,1,1
Afghanistan,AFG,Depth of credit information index (0=low to 6=high),IC.CRD.INFO.XQ,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Ease of doing business index (1=easiest to 185=most difficult),IC.BUS.EASE.XQ,..,..,..,..,..,..,..,..,..,175,177
Afghanistan,AFG,Ease of shareholder suits index (0 to 10),IC.PI.SHAR,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Extent of conflict of interest regulation index (0-10),IC.PI.CIR,..,..,..,..,..,..,..,..,1.7,1.7,1.7
Afghanistan,AFG,Extent of corporate transparency index (0-9),IC.PI.CT,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Extent of director liability index (0 to 10),IC.PI.DIR,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Extent of disclosure index (0 to 10),IC.BUS.DISC.XQ,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Extent of shareholder governance index (0-10),IC.PI.SG,..,..,..,..,..,..,..,..,0.3,0.3,0.3
Afghanistan,AFG,Extent of shareholder rights index (0-10.5),IC.PI.SR,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Labor tax and contributions (%),IC.TAX.LABR.CP.ZS,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Management of debtor's assets index (0-6),IC.ISV.MODA,..,..,..,..,..,..,..,..,0,0,0
Afghanistan,AFG,Minimum paid-in capital required to start a business (% of income per capita),IC.REG.CAP,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,Other taxes (%),IC.TAX.OTHR.CP.ZS,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Outcome (0 as piecemeal sale and 1 as going concern),IC.ISV.OTCM,..,..,..,..,..,..,0,0,0,0,0
Afghanistan,AFG,Private credit bureau coverage (% of adults),IC.CRD.PRVT.ZS,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Procedures required to build a warehouse (number),IC.WRH.PROC,11,11,11,11,11,11,11,11,11,11,11
Afghanistan,AFG,Procedures required to connect to electricity (number),IC.GE.NUM,..,..,..,..,4,5,5,5,5,5,5
Afghanistan,AFG,Procedures required to enforce a contract (number),IC.LGL.PROC,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Procedures required to register property (number),IC.PRP.PROC,11,11,9,9,9,9,9,9,9,9,9
Afghanistan,AFG,Procedures required to start a business (number),IC.REG.PROC,4,4,4,4,4,4,4,4,3,3,3
Afghanistan,AFG,Profit tax (%),IC.TAX.PRFT.CP.ZS,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Reorganization proceedings index (0-3),IC.ISV.RP,..,..,..,..,..,..,..,..,0,0,0
Afghanistan,AFG,Resolving Insolvency: cost (% of estate),IC.ISV.COST,..,..,25,25,25,25,25,25,25,25,25
Afghanistan,AFG,Resolving Insolvency: recovery rate (cents on the dollar),IC.ISV.RECRT,0,0,25.1,24.3,24.3,26,26.5,26.4,26.5,26.4,26.5
Afghanistan,AFG,Strength of governance structure index (0-10.5),IC.PI.SOGS,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Strength of insolvency framework index (0-16),IC.ISV.SOIF,..,..,..,..,..,..,..,..,3,3,3
Afghanistan,AFG,Strength of investor protection index (0 to 10),IC.PI.INV,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Tax payments (number),IC.TAX.PAYM,17,17,20,20,20,20,20,20,20,20,20
Afghanistan,AFG,Time required to build a warehouse (days),IC.WRH.DURS,357,357,357,357,357,357,357,357,353,353,353
Afghanistan,AFG,Time required to connect to electricity (days),IC.ELC.TIME,..,..,..,..,424,196,114,114,114,114,114
Afghanistan,AFG,Time required to enforce a contract (days),IC.LGL.DURS,1642,1642,1642,1642,1642,1642,1642,1642,1642,1642,1642
Afghanistan,AFG,Time required to register property (days),IC.PRP.DURS,252,252,250,250,250,250,250,250,250,250,250
Afghanistan,AFG,Time required to start a business (days),IC.REG.DURS,9,9,9,9,7,7,7,7,5,7,7
