"Country Code","country name","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"ABW","Aruba","37.30684","37.30684","37.30684","37.26207","37.26207","37.26207","37.26207","37.26207","37.26207","37.26207","37.26207","37.30684","37.35162","37.3964","37.38839","37.43317","37.47794","37.57551","37.62029","37.66507","37.70984","37.70184","37.70184","37.70184","37.69383","37.79224","37.60065","37.87","37.9611","38.63191","39.31532","39.3784","39.2873","39.46644","39.32718","39.73506","42.02114","41.60381","44.335","44.03445","43.05918","43.11056","43.46549"
"ADO","Andorra",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"AFG","Afghanistan","15.41929","16.23482","15.76816","16.07651","16.18097","17.10097","17.10097","17.20291","17.50874","17.72019","18.01548","17.9709","18.17983","18.38371","18.17983","18.08709","18.29602","18.29602","18.59694","18.59694","18.74131","18.80983","18.91429","19.07005","18.96811","19.19067","19.4058","19.45564","19.45564","19.83665","19.83665","19.8751","19.91992","22.80153","23.01158","26.5465","26.73499","26.79159","27.29841","28.15932","29.0781","29.30841","30.61697"
"AGO","Angola",".",".",".",".",".","30.0467","33.39925","33.98291","34.36327","31.79086","34.22868","31.67082","34.48598","35.67571","36.37188","34.12434","36.73856","37.59991","37.67145","39.56541","39.07513","38.46432","39.41086","39.19222","42.65306","42.20417","37.85901","40.11146","44.57527","45.43416","45.50969","43.61028","43.2961","44.08574","43.54231","44.62762","45.36975","45.90563","43.91776","41.689","43.21645","43.37298","42.05467"
"ALB","Albania","28.04076","28.93484","24.07026","25.12551","27.77807","27.56463","30.13186","28.58679","24.18171","29.94454","30.42092","29.45079","28.04185","28.8416","28.86683","26.43052","27.58965","29.08744","27.06648","28.61687","23.51488","27.96652","36.28004","34.7346","36.63512","39.1244","35.39761","38.8887","39.8022","38.52089","39.47435","43.65985","47.63927","45.61806","42.78624","46.57433","50.01065","53.4958","56.51215","60.07338","60.1718","56.38597","52.95293"
"ANT","Netherlands Antilles",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"ARE","United Arab Emirates",".","48.9739","49.03178","50.32974","50.9742","51.58972","52.21382","52.279","53.06948","53.48168","53.7603","54.15424","54.12345","55.13699","55.45806","54.8419","54.94396","53.90186","53.06577","52.4083","52.70958","59.63644","65.4532","65.2324","64.71841","66.12399","67.04214","68.8297","69.68902","69.30957","69.40024","69.91974","69.75575","71.22873","72.6806","72.78777","73.78824","75.30438","75.75774","76.11185","76.12568","76.16017","76.71357"
"ARG","Argentina","42.83353","42.90716","43.26278","43.20222","42.70538","43.11488","43.32315","44.5974","44.44232","44.81606","44.99495","45.64063","44.84942","45.49492","45.99234","46.16708","48.71947","48.2291","47.53124","49.10077","47.45182","49.53747","51.77942","55.65284","57.53081","60.33356","60.97912","62.00491","63.289","63.84296","64.1864","62.04377","62.94717","61.62519","61.99009","60.15476","60.26233","60.26506","59.56553","58.96566","58.77958","57.98938","57.47696"
"ARM","Armenia",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","27.22114","28.64989","29.52605","31.60469","33.72399","35.5781","36.94616","38.8264","42.5284","46.51316","46.52702","45.79641","46.8634","48.87717","50.42796","51.79808","51.90459","51.62074","52.9894","53.77298","52.93599","57.76149"
"ASM","American Samoa",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"ATG","Antigua and Barbuda",".",".",".",".",".",".",".",".",".",".",".","42.17775","42.22019","43.07657","43.14811","41.0554","42.34978","42.3711","43.44788","43.56025","42.76753","44.50036","44.47931","44.67383","45.16265","54.99437","46.21001","46.41467","46.6318","46.84436","46.68218","47.19464","48.06045","49.32003","49.2959","50.10083","50.96066","51.12419","49.44001","50.4674","48.43559","50.20304","50.29946"
"AUS","Australia","54.38477","58.54719","59.04553","60.27772","60.61527","66.25883","67.07374","67.60332","68.05647","68.15582","68.25737","68.45769","68.25169","68.98806","69.41559","70.16412","70.78104","71.66914","73.15171","73.59538","74.13015","74.50255","76.26443","77.05036","78.61971","78.77667","77.99958","78.65991","79.5304","80.18087","81.47413","81.92789","81.25266","81.60744","81.44437","81.71281","82.5892","83.15784","81.10702","82.65646","82.61317","82.68404","81.63766"
"AUT","Austria","56.63349","56.87381","57.17757","58.13501","59.43088","59.61752","60.09883","69.77567","70.26525","71.08485","72.33115","73.33861","73.54816","73.29265","74.36873","75.55555","76.42832","76.48914","76.56162","77.0683","77.56896","81.29388","81.59236","82.30443","83.5011","84.82841","86.34441","87.71038","88.58196","89.78182","91.40253","91.2726","90.35133","90.87012","90.86109","90.9924","90.94372","91.98251","91.20036","90.91032","90.40052","90.30067","90.24061"
"AZE","Azerbaijan","25.473","25.473","25.44217","25.44217","25.44217","25.44217","25.44217","25.41135","25.41135","25.41135","25.41135","25.51159","25.53088","25.581","25.63111","25.73135","25.73135","25.83158","25.8817","25.901","26.00123","26.24538","30.41191","30.97882","29.73846","31.20405","35.2329","38.20576","39.0646","43.09779","47.18489","48.33183","51.0898","50.59402","54.15674","54.68953","55.02466","56.97839","55.86172","54.97058","55.75526","56.14367","57.18803"
"BDI","Burundi","14.9885","15.09561","15.31888","15.91305","15.8869","16.00274","16.2867","16.93736","17.00739","17.34862","17.42365","17.65901","17.97378","19.29586","18.66422","18.75543","19.17916","19.55695","19.20588","18.89738","18.57833","18.86292","19.58214","19.72669","19.5204","20.4347","21.41825","22.05511","21.6135","22.99913","24.72004","24.47299","24.21175","25.74844","26.14519","26.98836","26.99553","31.93958","32.10297","32.35222","31.67895","31.80258","32.2615"
"BEL","Belgium","68.26591","68.26943","68.3428","68.85696","69.27721","68.96449","69.27579","69.50306","73.00043","73.43388","73.51859","74.34406","74.93099","75.58046","80.84306","81.48969","81.30354","81.34109","81.367","81.53461","81.34946","83.62152","85.8216","87.22798","88.25378","88.70027","89.60963","90.5751","90.21422","90.63347","91.7615","91.36552","91.48817","91.5447","91.72865","91.40453","91.6938","92.37168","92.21996","92.04351","91.82272","91.43234","90.99508"
"BEN","Benin","15.32997","15.89942","16.01769","16.52394","16.54827","17.56251","17.57253","18.30941","18.39023","18.65002","18.63908","19.47051","20.95626","22.20899","23.64314","23.73367","23.66166","22.77283","22.15693","21.47511","21.7902","23.8711","23.37897","24.12255","25.47743","31.08074","31.07193","32.35838","33.96089","35.43467","36.36535","36.44686","36.37564","36.92263","39.97067","39.77518","40.39387","43.1079","41.47861","42.11986","41.94117","40.99194","40.89564"
"BFA","Burkina Faso","24.17891","25.90598","25.43772","25.64728","25.53188","26.44893","26.23975","26.98978","25.99995","26.20508","26.52044","27.09826","27.32758","27.21231","27.551","27.73341","27.42367","27.38132","27.27122","27.28033","27.72046","28.59881","26.65585","29.58305","31.16833","31.21485","31.01858","32.65858","38.13858","37.62923","37.41692","37.10524","37.80841","38.69147","38.96114","39.40802","40.61974","41.78489","41.16367","43.6412","43.2219","42.37834","43.54944"
"BGD","Bangladesh",".","11.77346","13.08173","13.17283","13.20036","13.13028","14.96219","15.26225","15.40113","15.81528","15.86245","15.95478","16.58366","16.53395","16.25692","16.46632","16.76162","16.63104","20.89544","20.88771","20.38099","21.39581","22.53476","22.1242","24.76564","25.30844","26.74563","27.72921","28.65017","30.93971","32.19747","33.05073","33.82406","33.98058","35.83384","36.83128","38.14751","39.96173","39.86734","39.94394","40.58168","41.24387","41.92353"
"BGR","Bulgaria","36.08389","36.36412","36.31734","37.32371","37.53279","38.34798","38.6282","38.90843","40.01542","40.65137","41.21619","41.39804","41.33915","41.47479","41.24424","41.742","41.57402","41.043","39.67243","39.04257","38.63924","38.30772","45.23847","46.00199","47.1719","54.11467","58.17638","58.23491","58.72857","61.45868","64.26219","64.76461","64.08706","66.17538","68.81516","66.92879","70.82535","74.19907","73.42738","71.69219","71.11317","70.97616","76.10822"
"BHR","Bahrain",".","51.15728","51.18591","51.38466","51.54364","51.76941","51.89465","51.89465","52.19592","52.32873","52.47102","52.34486","52.48751","52.73386","53.4897","54.38439","54.45877","53.99382","53.98444","53.74935","54.02011","55.37442","55.89173","56.11464","61.17011","62.08228","64.12309","65.21194","66.15681","66.91744","66.5922","67.50992","67.40651","67.56331","67.44009","66.72493","67.43507","67.8316","68.08603","67.78152","69.17952","69.87194","69.34187"
"BHS","Bahamas, The",".",".",".","39.20253","39.34052","43.82147","45.16999","45.91536","46.85601","46.87046","47.09948","47.33273","47.39322","47.76685","47.65537","47.57023","47.46953","47.11759","46.55963","47.38717","47.53489","47.79787","46.5274","47.32404","46.72231","52.86921","49.49105","49.71796","50.3231","50.85485","51.15266","51.37245","49.90429","49.70962","50.57374","51.36388","51.66415","52.44927","51.51848","51.36719","52.75","53.81525","54.26585"
"BIH","Bosnia and Herzegovina",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","28.87444","31.7725","32.47007","33.04417","35.09147","37.78701","39.31671","42.43174","48.437","51.27934","52.02119","52.82494","55.17664","54.75228","60.66023","62.40044","61.06095","60.81415","62.37932","66.62505","66.18462"
"BLR","Belarus",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","27.67744","30.06057","28.19003","32.16381","33.35051","35.98003","38.60669","40.81841","41.3845","44.55799","45.51478","45.06589","46.42472","46.56881","45.82262","46.5407","46.98675","48.47318","50.90305","54.6543","59.36617","60.69598"
"BLZ","Belize",".",".",".",".",".",".",".",".",".",".",".","35.16283","35.21489","36.48456","37.56331","37.61251","37.38657","37.45783","37.70186","37.82036","38.51893","38.62168","38.82232","38.9272","40.47854","45.39689","42.75605","42.39899","43.01443","42.57313","44.0228","45.75914","45.61399","46.72833","46.52102","47.78276","48.20967","48.01097","48.10369","47.50304","49.82849","48.68948","49.54478"
"BMU","Bermuda","33.94549","33.94549","33.94549","33.94549","33.94549","33.94549","33.94549","33.94549","33.94549","33.94549","33.94549","33.94549","33.94549","33.94549","33.94549","33.94549","33.94549","33.94549","33.94549","33.887","33.887","34.10956","34.39061","34.61316","34.66278","34.66278","35.20949","35.57397","35.7562","35.97107","36.12068","36.12068","36.21548","36.24443","36.73156","36.78435","36.43035","36.37099","36.52579","36.9003","36.50797","36.46363","36.76728"
"BOL","Bolivia","32.10481","32.08377","32.64042","33.9676","34.80968","35.22274","35.65072","36.63049","37.611","37.92689","38.35445","38.27441","38.05045","38.71118","38.52924","38.94133","39.77293","38.53122","37.41033","36.99735","37.45171","39.36235","38.78517","39.47237","45.15443","41.41582","42.41315","46.91749","53.12612","54.14156","54.82376","53.78951","51.09599","51.78778","53.3675","53.99289","54.59008","53.68437","53.61273","53.42371","52.96071","52.69406","53.76136"
"BRA","Brazil","38.06811","38.24643","38.43686","38.60392","38.76382","38.88532","38.94992","39.1507","39.39711","43.17334","43.50361","43.51416","43.83607","44.64975","44.72545","44.56651","43.98731","43.07895","41.94712","44.46063","44.6727","48.04789","49.89051","51.40947","51.95703","53.06513","54.66496","55.33794","55.39415","56.423","55.721","58.57135","59.22373","57.90446","58.80885","59.51343","59.46559","59.98834","58.6411","59.03645","59.62787","59.45235","59.73502"
"BRB","Barbados","41.26423","41.7003","42.0423","42.07595","41.74845","42.34356","41.40874","41.69462","41.91913","42.79792","42.65468","42.89841","42.84078","43.76266","43.68327","43.8805","44.57288","43.57931","43.38899","42.98886","42.67255","43.28401","42.97019","43.42176","43.92884","49.99518","51.33014","46.25801","46.58204","46.86133","47.69655","48.98477","50.50497","51.25328","51.27117","54.7643","55.91104","56.5702","54.01438","55.65197","56.32016","56.83217","56.87635"
"BRN","Brunei Darussalam",".",".",".",".",".",".",".",".",".",".",".",".",".",".","48.70893","49.16763","50.4203","50.40419","50.40815","50.6911","51.84771","52.41367","58.05293","58.13591","54.42786","57.05199","59.24705","59.59997","60.84526","60.69733","60.62618","60.49097","59.55272","59.91322","59.45166","58.69497","57.91436","58.28777","63.28194","64.89953","65.56828","65.20854","65.38049"
"BTN","Bhutan","20.26874","22.40975","22.35696","22.76725","22.71447","22.35586","22.31108","22.2583","22.2583","22.30998","22.30998","22.67727","22.78284","22.88841","22.98597","23.14322","23.19601","23.19601","23.24879","23.24879","23.35326","24.00722","22.78515","22.77714","23.08585","23.39915","23.39915","23.66308","23.71587","24.09522","25.06477","25.88779","26.24906","25.25259","27.18345","27.00363","27.52402","27.42259","28.30356","28.9147","28.87674","29.08037","29.29762"
"BWA","Botswana","34.26675","34.86539","35.95254","36.37049","36.06943","36.5376","41.6467","42.00597","42.11764","42.08085","42.46285","41.40923","41.53758","43.58155","43.61965","44.09883","44.65932","43.71407","43.70555","42.18147","41.79073","41.42191","40.50277","45.77268","46.63292","41.59669","43.48508","44.67583","45.89904","46.44675","48.63797","49.39748","50.55409","50.74187","50.03644","47.80838","53.76178","54.60656","55.08965","51.78398","46.35409","44.21054","46.13437"
"CAF","Central African Republic","23.05424","23.13242","23.18762","24.88767","24.42449","24.11726","23.68773","24.62084","24.34874","25.08523","24.33108","24.51388","25.21443","26.1837","26.88056","26.11713","24.91224","24.60507","23.33066","22.92811","21.82339","22.15466","22.34933","22.80747","24.97822","25.39055","25.73911","26.57935","26.41331","26.3959","26.79212","26.95563","26.3449","26.75487","26.53678","31.31222","34.2797","32.7239","33.47647","35.52155","35.7419","35.23739","34.95318"
"CAN","Canada","69.50533","70.67474","70.77104","71.8908","72.4613","72.72444","77.61719","78.12948","79.12939","79.72218","79.48566","79.60637","79.02837","79.00153","79.77081","79.72006","79.60429","79.7676","79.4871","78.95758","78.88622","80.41165","81.25305","82.43723","83.45676","84.72436","85.14741","86.05516","87.20236","88.18572","88.79161","88.43335","87.31082","87.36686","87.50169","86.88959","86.42427","86.71281","86.58186","86.00944","86.10062","85.38973","85.03062"
"CHE","Switzerland","62.811","62.96474","62.96648","68.13217","68.34414","68.17438","73.06063","74.55381","75.24915","76.21104","76.57838","77.29278","77.12405","76.69913","77.14421","77.6822","77.60252","77.09492","76.01691","80.88186","80.88357","83.66554","84.02325","85.38997","85.77153","85.99685","86.80367","88.228","89.57317","91.15884","91.37626","90.90553","90.49864","90.34906","88.07135","88.64298","87.98286","88.54533","88.21489","88.38332","87.21681","85.56732","86.03851"
"CHI","Channel Islands",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"CHL","Chile","46.11717","45.97324","46.1653","46.0645","46.98948","48.39629","48.57521","48.05031","49.01518","49.77985","51.54844","50.80717","50.7873","51.51198","51.4784","51.75568","51.92508","51.4616","50.61633","49.79377","53.57092","56.65066","57.65736","58.87421","60.5426","61.74121","61.96834","63.74548","64.35401","65.78055","66.84029","69.03474","68.68641","69.48232","71.32386","71.75586","72.77888","74.00483","73.61519","72.79665","72.56759","71.96074","71.07725"
"CHN","China","18.70876","19.32519","20.26751","20.93282","21.37501","21.51133","21.72041","21.9295","22.00064","22.07179","22.13858","23.38554","23.74013","24.05988","24.64787","25.49776","26.79858","27.17494","27.84755","27.8635","36.25903","38.10755","39.39146","40.75384","41.32788","43.67654","44.43279","45.86992","51.66973","52.71568","54.16848","57.11364","55.52659","56.27213","58.66829","60.82994","59.96687","61.08252","59.8486","60.25774","60.71957","60.07112","60.14885"
"CIV","Cote d'Ivoire","30.14847","30.56155","31.32789","32.88657","33.39427","33.37412","33.4307","33.74655","34.10062","34.48993","34.79786","35.30769","35.65091","36.21161","36.35598","36.86196","36.08503","36.11015","35.94438","35.2027","34.79467","34.99706","34.79559","34.19941","35.45586","36.35454","37.50549","38.35099","43.42167","45.48031","46.04305","46.39787","47.49005","47.56947","47.72923","48.05094","48.98","50.5358","49.88483","50.54828","49.67818","47.90385","49.69039"
"CMR","Cameroon","24.35567","25.15124","25.04485","25.66","26.69375","27.11149","27.48545","27.8097","28.2447","27.96437","29.31838","29.0557","29.66764","31.09048","32.11758","34.10495","30.87135","30.286","29.82758","28.86339","29.68113","29.80427","36.50322","35.05273","30.09751","29.83065","32.02036","32.64957","36.16372","38.43208","38.96758","38.51773","40.40512","40.45041","43.35921","42.8988","42.09402","42.7631","42.4626","44.00928","42.99168","43.39964","43.29727"
"COG","Congo, Rep.","28.94935","30.52274","29.87741","30.77692","32.83887","32.79608","33.20725","33.23199","33.50013","33.68838","34.71502","34.22762","34.28045","34.68239","34.17676","35.73362","35.76286","34.0063","32.94372","37.35564","35.94788","36.96064","36.14103","38.02313","40.72629","41.5555","41.55231","41.24496","41.01345","41.92686","37.89779","38.02339","39.18713","39.75953","44.72871","46.03768","44.71584","42.77242","42.76136","49.26176","49.0296","45.08348","44.99995"
"COL","Colombia","32.48967","32.44912","32.99999","33.6388","33.74762","34.5236","34.70062","34.64208","34.80247","35.08028","35.41618","35.7359","35.85586","36.5862","37.09703","38.13052","39.0817","39.55608","38.48631","38.15371","38.34306","40.57723","45.72698","48.00903","47.80123","51.68182","49.27423","54.52129","51.06294","51.36267","50.61524","52.7803","52.76056","53.24767","53.79351","52.69419","57.29136","57.76958","56.2865","56.5009","52.67476","59.27487","59.16704"
"COM","Comoros",".",".",".",".",".","16.65764","16.74841","16.94777","20.64502","20.79454","20.83547","21.17945","21.16111","21.09706","21.03822","20.98838","21.21593","21.10023","20.73566","21.10321","21.30713","22.01758","22.65717","22.94618","23.71737","24.09528","23.76181","23.74916","23.78371","25.12592","25.33168","26.32396","26.32876","27.52468","26.86547","27.53967","28.51083","29.55862","30.15568","30.85796","30.85231","30.82575","31.15277"
"CPV","Cape Verde",".",".",".",".",".","27.63157","27.6602","27.6602","27.68883","29.29179","29.6463","31.24272","33.09692","33.80569","33.20464","33.18983","32.44578","31.52394","31.25057","31.23033","31.57042","31.91407","32.16665","37.1784","38.12297","34.1861","34.72561","35.89267","36.25674","37.77518","44.31553","44.69499","41.00039","41.80414","41.82491","43.28474","41.6165","41.93972","42.61269","42.87775","44.16658","43.93662","43.75692"
"CRI","Costa Rica","39.57858","41.60061","41.88534","42.58233","42.70821","42.19241","42.57326","43.15474","43.87708","44.3367","45.10334","49.19186","49.38288","49.3774","48.95972","49.12424","49.1642","49.05935","49.08517","48.7887","49.15685","49.83656","49.27703","52.25506","53.33558","53.25508","54.56821","56.37153","58.52972","60.96782","61.29632","60.31678","60.12281","62.41493","58.89915","61.86958","63.54565","64.95377","63.51535","63.30603","62.12419","61.70769","62.15697"
"CUB","Cuba","32.04316","32.00186","32.64042","32.4997","33.03632","33.71365","34.29158","34.76503","34.88398","34.90583","34.96647","35.03216","35.1341","35.09533","35.05402","35.32107","35.32107","35.27976","35.74817","36.20085","36.29171","36.60765","36.34596","36.87517","43.83809","44.78176","47.89838","48.89181","43.25089","44.22747","43.70913","45.54316","44.4899","45.03901","45.33352","45.79421","48.19406","48.96995","49.74195","49.83984","50.3489","50.44849","45.14776"
"CYM","Cayman Islands","30.37336","30.42612","30.47889","30.53166","30.63719","30.63719","30.68995","30.74272","30.79548","30.79548","30.84825","30.90102","30.95378","30.89158","30.89158","30.94435","30.94435","30.94435","30.99711","30.8105","30.98767","31.16116","31.44592","31.60627","31.54407","31.59684","32.08135","32.37206","32.46896","32.66277","32.75967","33.17604","33.27294","33.36984","33.45731","33.49202","33.68582","33.58044","33.57196","33.58855","33.5539","33.4917","33.52639"
"CYP","Cyprus","43.57981","43.98927","44.40146","44.77946","45.31765","45.90214","47.11391","47.44683","47.51701","47.954","47.19291","46.44455","47.12693","48.38188","48.17362","49.98537","50.1925","49.32094","49.23361","49.12883","49.74964","51.50557","51.27363","51.26682","51.86593","55.25735","56.34058","63.10005","59.70063","64.97505","66.19994","67.33469","67.22123","69.17098","75.96781","75.92992","76.24222","86.85141","86.588","86.07417","85.6765","84.88046","83.54436"
"CZE","Czech Republic",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","66.24924","68.52824","71.2993","72.40103","74.74377","75.71399","77.60295","79.26986","80.62315","81.70139","81.60892","83.79266","84.16617","84.42934","85.39178","85.06577","84.57874","84.25126","83.69444","84.09948"
"DEU","Germany","46.12785","49.51926","49.54134","49.66653","54.8695","54.79671","55.04039","55.39928","55.48586","55.42352","56.37562","57.46771","57.81574","57.81739","58.30745","60.53778","60.32325","60.34306","59.91673","59.41903","58.53466","66.59722","67.50445","68.50667","69.58017","70.58866","71.96046","74.25277","76.17493","77.91142","80.43146","79.88549","80.34882","80.54537","80.45045","80.57252","80.78556","81.45273","80.32047","79.39767","79.48986","79.42268","78.86473"
"DJI","Djibouti",".",".",".",".",".",".",".","27.0623","32.6427","32.63469","34.71029","35.41192","34.87635","34.43547","33.38657","33.36797","33.41918","33.43009","33.34095","33.4241","34.09244","34.95322","34.59626","34.82828","42.2872","44.02866","45.54563","37.6088","37.81514","38.63456","38.5154","38.07671","36.52023","37.24846","45.57703","45.12667","47.07646","47.23455","48.10249","49.05704","49.48692","49.47164","49.99765"
"DMA","Dominica","26.20388","28.18874","28.29321","28.24843","28.45737","28.3598","28.46427","28.41949","28.3592","28.12806","29.20802","29.41313","29.8252","30.53818","31.09722","31.25284","31.07021","32.45186","32.68953","32.6471","32.87161","34.16698","34.26095","34.50452","34.56038","35.43832","36.27836","36.86715","36.94246","37.22948","37.91479","38.1748","38.50657","39.1594","38.98748","39.62828","39.52012","39.79141","39.42442","39.53916","39.18489","39.20128","41.14511"
"DNK","Denmark","66.08849","66.30994","66.62026","67.14893","67.20047","67.27308","67.75027","68.72263","69.21054","70.05344","71.29782","75.92876","76.53326","76.55483","76.3252","77.08128","76.48994","76.1814","75.9867","75.37344","76.00977","79.23589","80.57629","82.14655","83.38574","84.05695","84.27029","85.46357","86.21555","86.38261","89.37602","89.5423","88.95399","88.57427","88.47466","89.29646","88.9515","89.57089","88.77795","87.42223","87.46761","87.34083","86.30004"
"DOM","Dominican Republic","30.59511","30.79569","31.95606","32.65932","33.29652","33.66068","33.53996","33.46329","33.56104","33.40141","33.53827","32.44662","30.85839","31.95269","32.1273","34.46943","34.12121","34.4715","34.63066","33.94709","33.60971","31.98764","32.39779","34.26218","33.93645","34.15794","39.32414","40.49726","42.09586","45.12051","51.66033","53.68008","50.55145","51.17414","55.49689","56.10075","59.3138","60.88053","55.67186","55.32863","60.87807","61.05337","61.49755"
