"Country Code","country name","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"ABW","Aruba","3.176898","3.176898","3.176898","3.176898","3.176898","3.176898","3.176898","3.176898","3.176898","3.176898","3.176898","3.176898","3.176898","3.176898","3.176898","3.176898","3.176898","3.176898","3.176898","3.176898","3.176898","3.176898","3.176898","3.176898","3.176898","3.176898","3.176898","3.176898","3.176898","3.993235","3.993235","3.993235","3.993235","3.993235","3.176898","4.265348","4.265348","4.53746","4.809573","4.809573","4.53746","4.53746","4.53746"
"ADO","Andorra","28.93317","33.01485","21.31402","8.25263","31.11007","27.02838","27.84472","31.65429","7.164181","32.74274","22.9467","31.65429","14.2391","28.38894","27.02838","29.7495","31.38218","31.11007","31.65429","32.47063","8.796855","28.38894","31.65429","33.01485","30.01971","21.04","19.06858","24.78293","33.45721","35.32868","34.78445","28.49255","33.06848","31.69126","38.42556","38.12013","25.28087","28.25745","40.96343","43.14033","40.69131","28.68505","33.34615"
"AFG","Afghanistan","26.49261","28.48683","27.4959","28.2499","28.50536","30.75503","30.75503","31.0043","31.75214","32.26922","32.53702","32.53702","33.04792","33.54648","33.04792","32.56172","33.07263","33.07263","33.82663","33.82663","34.34802","34.64297","34.89842","35.66909","35.41981","35.96404","36.50826","36.75754","36.75754","37.55722","37.55722","37.55722","37.76082","39.33735","39.38301","42.89764","42.19548","42.58603","43.95277","44.51983","46.62822","47.13913","49.27653"
"AGO","Angola",".",".",".",".",".","32.8276","45.3059","47.19403","48.55459","38.48644","47.46614","36.58165","45.56136","48.82671","50.98695","41.10574","46.8201","50.90178","46.8201","53.58341","54.11097","49.49124","43.76022","41.8326","51.83843","46.94041","30.02377","37.35415","51.50398","48.78286","48.78904","42.77973","42.99569","45.41755","43.55844","44.057","46.17774","49.17097","48.10536","48.10536","47.56113","47.56113","47.56113"
"ALB","Albania","37.03222","40.56968","22.06413","26.10015","36.46325","35.64692","45.46579","39.77427","22.92614","44.96724","47.00713","43.44683","38.20819","42.01776","42.6324","33.65269","38.55072","44.26508","36.08504","41.75373","22.14499","28.43258","41.96969","41.31129","52.28976","63.62057","51.29222","62.4155","62.59814","56.80479","60.76986","66.64402","72.77036","64.64604","51.48572","64.55226","68.87274","73.44249","76.39623","80.881","78.54553","69.51443","55.75418"
"ANT","Netherlands Antilles","3.10168","3.10168","3.10168","3.10168","3.10168","3.10168","3.10168","3.10168","3.10168","3.10168","3.10168","3.10168","3.10168","3.10168","3.10168","3.10168","3.10168","3.10168","3.10168","3.10168","3.10168","5.55364","5.55364","5.20336","5.20336","5.20336","5.20336","5.20336","5.20336","5.20336","5.20336","5.20336","5.55364","5.20336","5.20336","5.55364","5.55364","5.90392","5.55364","5.90392","5.90392","5.90392","5.90392"
"ARE","United Arab Emirates",".","17.09458","17.09458","21.94817","24.19167","26.43517","28.95264","29.20192","32.24509","33.82161","34.88723","36.47423","37.03698","42.4854","44.95724","45.20652","44.91158","41.05634","37.24677","35.03655","37.30906","41.7832","63.65265","62.12284","43.14994","45.14415","44.32782","47.00327","47.51418","46.47757","46.73302","46.73302","46.17214","47.23775","47.17542","47.43087","49.0074","50.36796","51.68903","52.18758","53.48581","54.53476","55.60038"
"ARG","Argentina","76.17027","76.96378","78.49463","78.51746","77.0218","78.29102","78.82476","79.32949","79.77189","78.95742","78.62298","77.01314","75.36381","80.26698","80.49342","81.29309","82.09277","80.44344","77.95164","74.53944","76.11924","82.62382","86.77085","88.84985","90.1448","90.78693","90.59607","90.59607","90.86818","91.1008","91.64503","92.37003","92.10408","92.37619","91.26162","91.26162","91.78301","93.10408","92.28774","92.55986","92.83197","92.83197","92.83197"
"ARM","Armenia",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","6.87039","12.23489","14.6839","20.97577","22.84723","24.71252","26.60065","27.81372","30.79029","31.04575","33.29542","34.57886","37.69671","37.82506","40.43574","44.43413","48.91872","49.17417","49.92818","49.35064","49.85536","68.034"
"ASM","American Samoa","26.03433","1.272112","21.13631","27.93912","20.59209","27.66701","25.218","22.76899","23.0411","8.891256","8.347032","27.3949","23.0411","22.76899","14.3335","21.95265","21.13631","16.5104","16.5104","22.22476","6.714359","21.95265","25.49011","27.12278","20.59209","20.04786","19.50364","24.40166","14.3335","21.95265","22.22476","8.347032","21.40842","22.22476","26.57856","8.619144","22.22476","9.979706","21.95265","20.04786","25.218","22.76899","22.76899"
