"Country Code","country name","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"ABW","Aruba","60.92119","60.92119","60.92119","60.84543","60.84543","60.84543","60.84543","60.84543","60.84543","60.84543","60.84543","60.92119","60.99695","61.07271","61.05916","61.13492","61.21068","61.37575","61.45151","61.52727","61.60302","61.58948","61.58948","61.58948","61.57593","61.74244","61.41829","61.87399","62.02813","62.59825","63.75451","63.86123","63.70709","64.01019","64.33939","64.2764","68.1442","67.24986","71.68246","71.17397","69.71217","69.79911","70.39961"
"ADO","Andorra","71.16791","71.28204","71.28204","71.28204","71.28204","71.28204","71.28204","71.39616","71.39616","71.39616","71.39616","71.39616","71.39616","71.39616","71.39616","71.39616","71.39616","71.39616","71.39616","71.39616","71.39616","71.39616","71.39616","71.39616","71.39616","71.39616","71.91397","71.91397","71.91397","71.68231","72.5428","72.48403","72.26886","73.10725","73.67511","74.09431","74.72311","75.35191","75.56149","75.79318","75.79318","75.79318","75.79318"
"AFG","Afghanistan","7.757709","7.757709","7.653793","7.653793","7.653793","7.653793","7.653793","7.653793","7.653793","7.653793","7.9681","7.892666","7.892666","7.892666","7.892666","8.072161","8.072161","8.072161","8.059588","8.059588","7.9431","7.85495","7.85495","7.585258","7.585258","7.585258","7.572685","7.484535","7.484535","7.575878","7.575878","7.640931","7.575878","11.36048","11.68426","15.23323","16.03795","15.86349","15.77534","16.83956","16.93525","16.97142","17.70651"
"AGO","Angola",".",".",".",".",".","6.496901","6.735047","6.973193","7.038378","7.197142","7.435287","7.435287","7.528866","7.528866","7.622444","7.622444","7.726953","7.622491","7.458155","7.607572","7.009179","7.236595","6.846879","7.194183","7.379848","7.42814","7.858493","9.576776","10.89139","12.85523","13.60353","14.21763","14.95297","15.41989","15.48642","18.25655","18.64367","19.64932","20.15657","20.46584","21.04898","21.59955","21.71577"
"ALB","Albania","29.24223","29.16067","29.09148","29.09148","28.94073","28.94073","28.94073","28.78997","28.78997","28.78997","28.63922","28.63922","28.63922","28.63922","28.48846","28.48846","28.4786","28.48846","28.48846","28.35744","28.39692","28.98912","29.35423","29.3345","29.35697","29.98155","31.21397","30.72094","33.08482","33.31698","33.93042","37.0844","40.11629","40.02128","37.9394","39.08796","40.34353","41.82821","42.44451","42.49049","43.15934","42.41235","42.55687"
"ANT","Netherlands Antilles",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"ARE","United Arab Emirates",".","45.62218","45.77535","45.85194","46.00511","46.0817","45.99141","45.99141","45.97772","45.97772","45.97772","46.21431","46.44863","46.35835","46.17778","46.17778","46.13835","46.04806","45.95778","45.91835","45.82806","60.89174","60.98201","60.94258","71.85374","74.02233","75.96925","78.70247","79.79212","80.06906","80.67097","81.18976","80.69263","81.40305","80.99284","81.25804","81.65111","82.57057","81.49818","81.51114","81.57371","80.86119","80.77342"
"ARG","Argentina","29.03766","28.68348","28.46147","28.28541","28.10935","28.31483","28.10315","29.95561","28.53225","28.72418","29.43666","29.16548","27.68938","26.7802","26.73775","26.71593","35.86823","35.57905","35.708","35.93818","35.73169","35.62241","36.29311","39.54437","40.73297","43.27101","44.83323","46.86441","50.0709","51.48196","52.50086","51.32142","49.89691","48.47565","49.32862","49.53065","49.49485","49.39211","52.22459","52.2187","52.28041","52.6389","52.06575"
"ARM","Armenia",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","19.49131","19.5605","19.64206","19.80982","24.03223","25.82591","27.31518","30.81731","37.91695","45.39318","45.72092","42.44446","41.5877","41.7682","43.98617","45.22145","44.58924","45.68151","44.92355","45.93159","44.9536","44.61132"
"ASM","American Samoa",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"ATG","Antigua and Barbuda",".",".",".",".",".",".",".",".",".",".",".","58.27876","58.35057","58.56225","58.68328","58.93706","58.88058","58.91666","59.16056","59.35067","59.37052","59.30145","59.26582","59.41819","59.67185","60.01121","60.12597","60.11873","60.30935","60.49223","60.59439","60.90812","62.19624","63.0901","63.24906","64.43419","64.75927","64.691","64.20879","63.35992","58.45924","60.50822","60.67135"
"AUS","Australia","51.17123","60.53785","60.86221","61.42607","61.56802","74.79343","75.13515","75.45372","76.0987","76.07693","76.04086","76.11232","75.9342","76.13558","76.16135","76.26866","76.71113","76.7244","77.28291","77.23418","78.1478","77.87991","79.09163","79.71948","80.81741","80.45898","79.8175","80.85569","82.46165","82.99114","83.60908","83.59454","83.71737","83.99963","83.51833","83.91345","83.82382","83.50137","83.09692","83.11667","82.89172","82.31901","82.11237"
"AUT","Austria","47.49522","47.75129","47.94278","48.15575","48.27835","48.7304","49.11583","73.76034","74.21242","75.48941","75.99954","76.10066","76.80947","76.8503","77.22948","77.53289","79.55656","80.7546","81.04724","81.93024","82.0206","83.38535","84.80209","85.16422","86.13583","87.04864","88.58982","88.77865","89.07984","90.10772","90.91819","91.13206","89.48112","90.04662","89.99156","90.8387","90.95094","92.00301","91.64709","91.45777","91.58504","91.40646","91.53503"
"AZE","Azerbaijan","26.7407","26.7407","26.65914","26.65914","26.65914","26.65914","26.65914","26.57757","26.57757","26.57757","26.57757","26.84282","26.89388","27.02651","27.15913","27.42438","27.42438","27.68963","27.82225","27.87331","28.13856","28.473","28.8132","29.01501","29.33708","29.84265","31.37701","33.03897","34.3312","43.93962","44.5693","45.70499","48.43361","43.35749","51.11694","50.3989","49.33022","50.68163","50.1642","50.85243","51.16367","50.33721","50.60726"
"BDI","Burundi","11.22482","11.14326","11.07407","11.07407","11.00488","11.00488","11.14326","11.28164","11.33846","11.40765","11.54603","11.68441","11.7536","13.76795","12.20586","12.27505","12.4282","12.62344","12.76683","12.92984","12.8408","12.71265","12.95985","13.30888","13.94094","14.25321","13.8541","15.12923","16.31863","17.84223","19.26161","18.14633","17.95122","18.28404","19.65108","19.81773","19.48672","19.77052","20.22846","19.71244","21.45305","21.47454","22.36683"
"BEL","Belgium","45.44506","45.5163","45.69237","45.86843","45.93762","46.04244","46.23644","46.96875","56.31006","56.68796","56.79277","57.19601","57.1579","57.42338","70.04498","70.431","70.71069","71.70662","72.34173","72.21198","72.42391","74.9634","77.021","79.22993","81.47885","82.86794","84.35834","85.00831","85.84218","86.36114","87.78978","87.20367","87.85219","88.58057","89.1768","89.44319","89.55177","89.98841","90.10339","90.06956","90.19033","90.31693","90.04559"
"BEN","Benin","9.365209","9.872291","9.638253","9.599247","9.404216","9.508051","9.472769","9.505183","9.472769","9.483574","9.741599","10.20546","10.56969","10.83565","10.85304","10.98745","12.71249","13.01373","12.96061","13.00558","13.24768","13.81104","13.51158","14.24988","14.48066","16.15224","14.90199","18.34691","19.71426","21.65335","22.71201","22.71759","23.46582","23.71647","24.26413","24.26233","23.42734","25.81128","24.93994","24.5116","24.39921","24.0586","23.68881"
"BFA","Burkina Faso","16.33629","16.29728","16.33403","16.43976","16.43976","17.06386","17.15476","17.18022","17.52018","17.25343","17.40495","18.01325","18.03694","18.0732","18.33093","18.61028","18.26336","17.97719","17.58657","16.96899","17.40091","17.71169","18.25138","18.12917","18.32961","18.24415","17.59077","21.84426","22.23651","22.59795","22.15427","21.1794","22.97762","23.43626","24.56933","23.90082","25.88217","26.74129","26.03321","27.59455","27.72634","26.82312","26.87294"
"BGD","Bangladesh",".","7.268457","7.268457","7.268457","7.268457","7.186893","7.117703","7.275592","7.213764","7.292709","7.408998","7.450194","7.679779","7.9845","7.823992","7.985777","8.214954","7.346909","7.474412","7.249835","7.286339","7.552123","7.896681","8.724532","9.045589","9.453408","9.567159","10.44475","12.34641","15.15174","16.00682","16.85287","17.57022","17.33238","17.47577","18.45272","20.68824","21.46062","21.54789","22.40774","22.74828","23.48511","24.21289"
"BGR","Bulgaria","26.1381","26.1381","26.1381","26.1381","26.1381","26.1381","26.1381","26.1381","26.27072","26.27072","26.27072","26.28059","26.30033","26.2385","26.22863","26.20889","26.05653","26.08614","26.13548","26.18744","26.27625","26.33557","26.81187","26.83262","38.59538","40.87609","43.50748","42.4936","43.48645","47.86306","51.85479","52.88231","55.12231","55.76738","55.93171","56.84179","57.64867","58.71017","59.09624","59.05481","58.65068","58.07729","71.00483"
"BHR","Bahrain",".","49.4154","49.49116","49.49116","49.56692","49.64268","49.62913","49.62913","49.70489","49.69134","49.69134","49.68054","49.8348","49.93935","50.1103","50.34164","50.2479","50.28475","50.38356","50.34491","50.67156","50.71891","50.67568","50.98772","63.3885","65.31033","66.91468","68.02993","68.43249","68.42437","67.80492","69.56639","69.15665","68.31204","66.70763","63.76431","64.84846","64.47824","64.62698","64.38172","67.7034","69.16125","68.84599"
"BHS","Bahamas, The",".",".",".","48.75447","48.58941","59.74032","60.35548","60.91397","61.1674","61.30198","61.40162","61.44736","61.68759","61.73333","61.94354","62.01124","62.00043","62.01124","62.05446","62.28927","62.31088","62.32169","62.11375","62.19095","62.34953","62.217","64.13794","64.43893","62.39193","61.83219","62.32007","63.592","66.19347","66.19043","66.81024","66.18565","65.46797","65.53357","65.52931","66.20989","67.4576","68.83656","68.90891"
"BIH","Bosnia and Herzegovina",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","23.68942","23.85449","24.00601","24.79366","28.796","31.77825","33.8127","36.8821","41.03056","44.70535","47.09157","47.85379","49.81418","50.79676","50.44297","50.70044","50.24632","50.88364","51.05915","61.93786","62.67268"
"BLR","Belarus",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","38.04115","38.04115","37.58227","37.34744","38.36158","43.40633","44.82272","45.84379","47.41381","51.34503","54.481","55.19409","59.11933","58.67239","58.22203","58.42731","58.51465","58.63724","60.61766","61.47881","60.82429","61.58488"
"BLZ","Belize",".",".",".",".",".",".",".",".",".",".",".","40.38479","40.486","40.69295","40.79642","40.85155","39.73615","39.75355","39.65581","39.73382","39.76862","39.84016","39.86836","40.52863","41.15847","40.20612","44.04042","44.7049","44.94921","44.0115","46.19372","47.97239","50.22306","51.13585","49.3624","49.22885","48.82093","49.28247","48.49582","47.62791","47.22267","46.56107","46.69491"
"BMU","Bermuda","56.36377","56.36377","56.36377","56.36377","56.36377","56.36377","56.36377","56.36377","56.36377","56.36377","56.36377","56.36377","56.36377","56.36377","56.36377","56.36377","56.36377","56.36377","56.36377","56.26482","56.26482","56.26482","56.36377","56.36377","56.44772","56.44772","57.3727","57.98935","58.29767","58.66121","58.91433","58.91433","59.07473","59.1237","59.38306","59.2841","59.43826","59.33783","59.59974","59.66854","59.56958","59.49457","59.4435"
"BOL","Bolivia","26.16235","25.59237","26.05548","26.34047","26.47265","26.6864","26.53564","26.89189","27.08975","26.73896","27.04369","26.51707","24.72203","24.89581","24.68379","25.33489","25.97","25.8983","26.05451","26.04113","26.23988","26.62618","26.33946","25.85565","27.68514","26.81843","28.74865","38.4841","41.43565","39.83592","39.11374","38.88427","29.14157","30.69277","31.53844","32.12012","33.09718","34.02984","34.27655","34.80299","34.11968","35.00023","34.76259"
"BRA","Brazil","19.94257","20.04944","20.01588","19.65138","19.79387","19.68906","19.3225","19.21769","19.36018","28.34891","28.34891","28.19611","28.17595","28.09644","27.85944","27.77994","27.88681","28.17182","27.92451","28.3599","28.32352","28.85432","30.82989","31.80441","32.10642","34.84842","38.25095","40.3863","41.2233","42.45117","41.84443","41.74247","41.46988","40.88962","40.94923","40.97185","41.11278","41.70242","42.46972","42.49104","43.1925","43.80803","44.24383"
